Designator,Footprint,Quantity,Value,LCSC Part #
"AM0, AM1, AM2, AM3, AM4, AM5",SSOP-24_5.3x8.2mm_P0.65mm,6,CD74HC4067SM,
"C1, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C14, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,98,100n,
"C10, C11, C15, C16",0805,4,22u,
"C12, C13",0402,2,10p,
C17,0805,1,4.7u,
C5,0603,1,10u,
C6,0402,1,10n,
C7,0402,1,1u,
D1,0603,1,RED,
F1,0805,1,500mA,
FB1,0603,1,120R,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
R1,0402,1,10k,
"R2, R3",0402,2,5k1,
R4,0402,1,1k5,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S76, S77, S78, S79, S8, S80, S81, S82, S83, S84, S85, S86, S87, S9",SOT-23,87,Hall_Sensor,C266230
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEU6,
"U3, U5",SOT-223-3_TabPin2,2,AMS1117,
U4,SOT-23-6,1,USBLC6-2SC6,
Y1,CHIP_X32B4SI_SYX,1,16Mhz,
